,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus_Minus
319,Robin Lopez,MIL,32,60,49,11,14.4,5.5,2.3,4.6,0.502,0.6,1.6,0.344,0.4,0.7,0.535,0.9,1.6,2.4,0.7,0.9,0.2,0.7,1.3,11.1,0,0,0.7
317,Mo Bamba,ORL,22,60,28,32,14.5,5.5,2.2,4.7,0.468,0.6,1.7,0.356,0.5,0.8,0.674,1.6,3.4,5,0.7,0.7,0.4,1.4,1.9,17.2,2,0,0.7
136,Glenn Robinson III,PHI,26,60,17,43,29.1,11.8,4.7,9.6,0.486,1.2,3.2,0.387,1.2,1.4,0.867,1.3,3,4.3,1.6,0.9,0.9,0.3,1.6,22,1,0,-4.9
129,Al Horford,PHI,34,60,35,25,30.8,12,4.8,10.9,0.442,1.5,4.4,0.337,0.9,1.2,0.753,1.5,5.3,6.9,4.1,1.1,0.9,0.9,2.1,30.6,6,0,2
175,Rudy Gay,SAS,33,60,25,35,21.5,10,3.7,8.4,0.442,1,3.1,0.314,1.7,1.9,0.876,0.9,4.4,5.4,1.7,1.3,0.4,0.5,1.5,20.4,4,0,-0.3
157,Ish Smith,WAS,31,60,22,38,26.2,10.5,4.4,9.7,0.451,0.9,2.5,0.367,0.8,1.2,0.686,0.5,2.7,3.2,4.8,1.3,0.9,0.4,1.4,23.9,0,0,-1.8
152,Jeff Teague,ATL,32,59,22,37,24.8,10.9,3.6,8.3,0.436,0.7,2,0.368,2.9,3.3,0.873,0.5,1.9,2.4,5.2,2,0.7,0.3,1.8,22.8,3,0,-2.9
19,Jayson Tatum,BOS,22,59,41,18,34.6,23.6,8.5,18.9,0.448,2.8,7.1,0.398,3.8,4.7,0.806,1,6.1,7.1,2.9,2.2,1.4,0.9,2.1,41.2,10,0,7.5
121,Darius Garland,CLE,20,59,17,42,30.9,12.3,4.7,11.8,0.401,1.8,5,0.355,1.1,1.2,0.875,0.5,1.4,1.9,3.9,2.6,0.7,0.1,1.6,20.2,1,0,-5
116,Seth Curry,DAL,29,59,36,23,24.5,12.6,4.5,9,0.5,2.3,5.1,0.453,1.3,1.5,0.841,0.4,1.9,2.4,2,1,0.6,0.1,1.7,19.6,0,0,3.2
226,Tony Snell,DET,28,59,18,41,27.8,8,2.9,6.5,0.445,1.7,4.3,0.402,0.5,0.5,1,0.2,1.7,1.9,2.2,0.5,0.5,0.3,1.7,15.4,0,0,-2.9
195,Marquese Chriss,GSW,22,59,15,44,20.3,9.3,3.6,6.5,0.545,0.1,0.7,0.205,2,2.6,0.769,1.9,4.3,6.2,1.9,1.3,0.7,1.1,2.1,23.4,9,0,-3.8
62,Ja Morant,MEM,20,59,31,28,30,17.6,6.7,13.6,0.491,0.9,2.4,0.367,3.5,4.5,0.77,0.7,2.8,3.5,6.9,3.2,0.9,0.3,1.5,32.5,11,1,-0.1
311,Kyle Anderson,MEM,26,59,30,29,19.3,5.7,2.3,4.7,0.493,0.3,1.1,0.258,0.7,1.1,0.652,0.9,3.4,4.4,2.2,0.9,0.8,0.5,1.4,17.2,0,0,-1.7
234,Kelly Olynyk,MIA,29,59,38,21,18.5,7.7,2.6,5.4,0.476,1.4,3.1,0.432,1.2,1.4,0.854,0.6,3.8,4.4,1.6,1.1,0.6,0.3,2.4,17.2,3,0,1.4
191,Donte DiVincenzo,MIL,23,59,51,8,23.1,9.4,3.5,7.7,0.462,1.3,3.7,0.344,1,1.3,0.769,1,3.9,4.9,2.3,1.2,1.4,0.3,1.6,22.5,1,0,6.9
84,Alec Burks,PHI,28,59,17,42,27.3,15.1,4.8,11.9,0.404,1.7,4.6,0.366,3.8,4.3,0.896,0.7,3.7,4.4,2.9,1.4,1,0.3,2,27.2,1,0,-4.6
156,Cam Reddish,ATL,20,58,17,41,26.7,10.5,3.7,9.6,0.384,1.4,4.3,0.332,1.7,2.2,0.802,0.6,3.1,3.7,1.5,1.7,1.1,0.5,2.3,20.2,0,0,-4.2
194,Daniel Theis,BOS,28,58,37,21,23.8,9.3,3.7,6.6,0.565,0.4,1.4,0.321,1.4,1.8,0.764,2.2,4.3,6.6,1.6,0.8,0.6,1.3,3.5,24.5,5,0,3.4
122,P.J. Washington,CHA,21,58,22,36,30.3,12.2,4.6,10.2,0.455,1.5,4,0.374,1.5,2.3,0.647,1,4.4,5.4,2.1,1.6,0.9,0.8,2.7,25.3,4,0,-3.8
145,Cody Zeller,CHA,27,58,18,40,23.1,11.1,4.3,8.3,0.524,0.3,1.3,0.24,2.1,3.1,0.682,2.8,4.3,7.1,1.5,1.3,0.7,0.4,2.4,23.9,10,0,-3.8
358,Ryan Arcidiacono,CHI,26,58,21,37,16,4.5,1.6,3.8,0.409,0.9,2.4,0.391,0.5,0.7,0.711,0.3,1.6,1.9,1.7,0.6,0.5,0.1,1.7,10.2,0,0,-1.4
312,Justin Jackson,DAL,25,58,36,22,16,5.7,2.1,5.4,0.399,0.8,2.6,0.298,0.6,0.8,0.818,0.5,2,2.4,0.8,0.2,0.2,0.2,1,10.8,0,0,0.2
85,Will Barton,DEN,29,58,38,20,33,15.1,5.7,12.7,0.45,1.9,5,0.375,1.8,2.3,0.767,1.3,5,6.3,3.7,1.5,1.1,0.5,2.1,31.2,7,0,4.2
203,Bruce Brown,DET,23,58,18,40,28.2,8.9,3.4,7.7,0.443,0.6,1.7,0.344,1.5,2.1,0.739,1.1,3.7,4.7,4,1.7,1.1,0.5,2.8,23.6,4,0,-2.4
169,Danuel House Jr.,HOU,27,58,36,22,30,10.2,3.6,8.3,0.427,1.9,5.4,0.363,1.2,1.5,0.8,1,3.3,4.2,1.3,0.8,1.1,0.6,2.1,21.5,2,0,1.8
189,Aaron Holiday,IND,23,58,36,22,23.6,9.4,3.5,8.6,0.407,1.4,3.5,0.394,1.1,1.2,0.861,0.4,1.9,2.3,3.3,1.3,0.8,0.2,1.8,18.8,2,0,1.5
321,Alex Caruso,LAL,26,58,45,13,17.8,5.4,1.9,4.5,0.423,0.7,1.8,0.355,1,1.3,0.763,0.2,1.7,1.9,1.8,0.8,1,0.3,1.5,13.6,0,0,3.9
249,Gorgui Dieng,MEM,30,58,18,40,17.5,7.4,2.7,5.9,0.461,0.9,2.4,0.359,1.1,1.4,0.735,1.5,4.3,5.8,1.2,0.9,0.8,1,1.9,20.6,9,0,-1.7
160,Jae Crowder,MIA,29,58,26,32,29.2,10.4,3.4,8.8,0.384,1.9,6.1,0.318,1.6,2.1,0.785,0.8,5.3,6.1,2.6,1.1,1.2,0.4,2.2,25.1,6,0,-2.5
151,Steven Adams,OKC,26,58,37,21,27,10.9,4.5,7.6,0.591,0,0.1,0.333,1.9,3.2,0.59,3.4,6,9.4,2.4,1.5,0.9,1.1,1.9,30.3,21,0,2.5
95,Aaron Gordon,ORL,24,58,28,30,33,14.4,5.4,12.5,0.433,1.2,3.9,0.301,2.4,3.5,0.675,1.8,5.8,7.6,3.7,1.6,0.9,0.6,2,31.9,19,1,-1.7
172,Dario Saric,PHX,26,58,24,34,24.9,10.1,3.7,8.1,0.462,1.3,3.7,0.341,1.4,1.6,0.832,1.5,4.4,5.9,1.9,1.2,0.6,0.3,2.3,21.4,9,0,-1.3
5,Damian Lillard,POR,29,58,27,31,36.9,28.9,9.2,20,0.457,3.9,9.9,0.394,6.7,7.6,0.888,0.5,3.8,4.3,7.8,2.9,1,0.4,1.7,47,16,1,1.2
154,Dejounte Murray,SAS,23,58,24,34,25,10.7,4.4,9.3,0.475,0.6,1.6,0.378,1.3,1.6,0.798,1.2,4.6,5.8,4.1,1.9,1.7,0.3,2.2,27.9,4,0,-3.4
325,Jakob Poeltl,SAS,24,58,25,33,16.6,5.3,2.3,3.8,0.619,0,0,0,0.6,1.3,0.486,1.8,3.6,5.3,1.8,0.8,0.5,1.4,1.7,19.4,2,0,1
303,Georges Niang,UTA,27,58,38,20,13.3,5.8,2.1,4.6,0.453,1.3,3.2,0.416,0.3,0.4,0.864,0.2,1.7,1.9,0.6,0.4,0.2,0.1,1.1,9.4,0,0,-0.8
352,Isaac Bonga,WAS,20,58,21,37,17.7,4.6,1.7,3.2,0.522,0.4,0.9,0.4,0.9,1.1,0.813,1.1,2.1,3.2,1.1,0.7,0.6,0.4,2.3,12.2,0,0,0.4
60,Andre Drummond,CLE,26,57,21,36,33,17.7,7.3,13.8,0.533,0.1,0.6,0.143,3,5.2,0.575,4.4,10.8,15.2,2.7,3.6,1.9,1.6,3.5,47,47,0,-3.4
131,Tristan Thompson,CLE,29,57,19,38,30.2,12,5.1,9.9,0.512,0.2,0.4,0.391,1.7,2.8,0.615,4,6.2,10.1,2.1,1.8,0.6,0.9,2.2,29.9,25,0,-6.6
412,Matthew Dellavedova,CLE,29,57,17,40,14.4,3.1,1.1,3.1,0.354,0.4,1.6,0.231,0.6,0.6,0.865,0.3,1,1.3,3.2,1,0.4,0,1.4,9.5,1,0,-0.2
221,Jalen Brunson,DAL,23,57,34,23,17.9,8.2,3.2,6.8,0.466,0.8,2.1,0.358,1.1,1.3,0.813,0.4,2,2.4,3.3,1.2,0.4,0.1,1.3,16.2,2,0,3
205,Jordan Poole,GSW,21,57,12,45,22.3,8.8,2.9,8.8,0.333,1.3,4.6,0.279,1.7,2.1,0.798,0.2,1.9,2.1,2.4,1.3,0.6,0.2,1.6,15.9,0,0,-3.5
3,Giannis Antetokounmpo,MIL,25,57,48,9,30.9,29.6,10.9,20,0.547,1.5,4.8,0.306,6.3,10,0.633,2.3,11.5,13.7,5.8,3.7,1,1,3,57.3,52,4,11.4
170,Josh Hart,NOP,25,57,24,33,27.4,10.2,3.5,8.4,0.416,1.9,5.7,0.342,1.2,1.6,0.747,0.9,5.5,6.5,1.6,1.1,1,0.4,2.5,23.5,9,0,-1.4
283,Frank Ntilikina,NYK,21,57,19,38,20.8,6.3,2.3,5.8,0.393,0.8,2.4,0.321,0.9,1,0.864,0.4,1.7,2.1,3,1.2,0.9,0.3,2.5,15.8,1,0,-1.7
342,Matisse Thybulle,PHI,23,57,36,21,19.5,4.7,1.7,4.1,0.41,0.9,2.5,0.352,0.4,0.7,0.61,0.6,0.9,1.5,1.2,0.8,1.4,0.7,2.1,13.9,0,0,0.4
109,Ricky Rubio,PHX,29,57,24,33,31.6,13.1,4.4,10.7,0.412,1.2,3.3,0.351,3.1,3.6,0.853,0.7,3.9,4.6,8.9,2.7,1.5,0.2,2.5,34.4,21,2,2.3
2,Bradley Beal,WAS,27,57,20,37,36,30.5,10.4,22.9,0.455,3,8.4,0.353,6.8,8,0.842,0.9,3.3,4.2,6.1,3.4,1.2,0.4,2.2,46.3,8,0,-3.5
123,Kevin Huerter,ATL,21,56,19,37,31.4,12.2,4.5,10.9,0.413,2.3,6,0.38,0.9,1.1,0.828,0.6,3.4,4.1,3.8,1.6,0.9,0.5,2.5,25.4,2,0,-4.3
368,Bruno Fernando,ATL,21,56,18,38,12.7,4.3,1.8,3.6,0.518,0.1,0.7,0.135,0.5,0.9,0.569,1.2,2.3,3.5,0.9,0.8,0.3,0.3,1.9,11,1,0,-1.7
219,DeAndre Jordan,BKN,31,56,27,29,22,8.3,3.4,5.1,0.666,0,0,0,1.5,2.2,0.68,2.5,7.5,10,1.9,1.3,0.3,0.9,2,25.6,13,0,-0.7
174,Larry Nance Jr.,CLE,27,56,16,40,26.3,10.1,4.1,7.7,0.531,1,2.8,0.352,0.9,1.3,0.676,1.9,5.4,7.3,2.2,1.1,1,0.4,1.6,25.2,12,0,-2.8
63,Kevin Love,CLE,31,56,16,40,31.8,17.6,5.8,13,0.45,2.6,7,0.374,3.3,3.9,0.854,1,8.8,9.8,3.2,2.5,0.6,0.3,1.6,34.4,23,0,-4.8
162,Gary Harris,DEN,25,56,37,19,31.8,10.4,3.9,9.3,0.42,1.3,3.8,0.333,1.3,1.6,0.815,0.5,2.4,2.9,2.1,1.1,1.4,0.3,2.1,20.8,0,0,2.2
200,Svi Mykhailiuk,DET,23,56,17,39,22.6,9,3,7.2,0.41,2.1,5.1,0.404,1,1.3,0.814,0.3,1.6,1.9,1.9,1.1,0.7,0.1,1.6,15.4,0,0,-0.1
80,Eric Bledsoe,MIL,30,56,47,9,27.2,15.4,5.7,11.8,0.482,1.3,3.6,0.348,2.8,3.4,0.813,0.7,3.9,4.6,5.4,2.5,0.9,0.4,2.1,30.8,2,0,8.1
264,Ersan Ilyasova,MIL,33,56,45,11,16,6.8,2.4,5.2,0.472,0.8,2.2,0.371,1.1,1.3,0.827,1.1,3.9,4.9,0.8,0.6,0.4,0.3,1.6,15.4,4,0,2.2
242,Jaxson Hayes,NOP,20,56,26,30,17,7.5,2.8,4.2,0.66,0,0.1,0.25,1.9,3.1,0.63,1.5,2.5,4,0.9,0.7,0.4,0.9,2.5,17,3,0,-0.9
15,Brandon Ingram,NOP,22,56,23,33,34.3,24.3,8.4,18,0.466,2.4,6.3,0.387,5.1,5.9,0.858,0.9,5.4,6.3,4.3,3.1,1,0.7,2.9,40.1,9,0,0
119,Lonzo Ball,NOP,22,56,24,32,32.4,12.4,4.6,11.2,0.412,2.5,6.5,0.383,0.7,1.2,0.567,1.1,5.1,6.2,7,3.1,1.4,0.5,2,33.2,12,3,0.5
96,RJ Barrett,NYK,20,56,17,39,30.4,14.3,5.2,13,0.402,1.1,3.5,0.32,2.8,4.5,0.614,0.9,4.1,5,2.6,2.2,1,0.3,2.2,25.8,2,0,-5.8
52,Kelly Oubre Jr.,PHX,24,56,22,34,34.5,18.7,6.7,14.8,0.452,1.9,5.5,0.352,3.4,4.4,0.78,1.2,5.3,6.4,1.5,1.5,1.3,0.7,3.4,33.2,9,0,-0.5
315,Damian Jones,ATL,25,55,15,40,16.1,5.6,2.2,3.2,0.68,0,0.2,0.222,1.1,1.5,0.738,1.3,2.4,3.7,0.6,0.5,0.5,0.7,2.7,14.1,0,0,-4.7
361,Treveon Graham,ATL,26,55,21,34,16.9,4.4,1.6,4.4,0.36,0.6,2.2,0.275,0.7,1,0.643,0.9,1.8,2.7,0.8,0.5,0.4,0.1,1.9,10,0,0,-2.7
167,Garrett Temple,BKN,34,55,26,29,28.1,10.3,3.6,9.5,0.378,2,6.3,0.324,1,1.3,0.767,0.5,2.9,3.5,2.6,1,0.8,0.5,1.7,21,1,0,-0.8
167,Malik Monk,CHA,22,55,18,37,21.3,10.3,3.9,8.9,0.434,1.1,3.7,0.284,1.5,1.8,0.82,0.5,2.4,2.9,2.1,1.4,0.5,0.3,1.3,17.6,1,0,-4.2
50,Jamal Murray,DEN,23,55,37,18,32.8,18.8,7,15.4,0.455,1.9,5.5,0.345,2.9,3.2,0.893,0.8,3.2,3.9,4.8,2.3,1.2,0.3,1.8,32.9,2,0,4.5
135,Myles Turner,IND,24,55,32,23,29.6,11.8,4.2,9.4,0.451,1.4,4.2,0.336,2,2.6,0.75,1.3,5.3,6.5,1.1,1.2,0.8,2.2,2.5,29,8,0,0.3
65,Marcus Morris Sr.,LAC,30,55,22,33,31.4,17.4,5.9,13.6,0.433,2.4,5.9,0.41,3.1,3.8,0.823,1,4.1,5.1,1.4,1.6,0.8,0.5,2.9,27.8,3,0,-0.6
272,JaMychal Green,LAC,30,55,38,17,20.5,6.5,2.3,5.5,0.414,1.3,3.7,0.363,0.6,0.8,0.727,1.4,5,6.3,0.8,0.8,0.5,0.4,2.7,16.9,7,0,2.6
10,Anthony Davis,LAL,27,55,43,12,34.3,26.7,9.2,18.1,0.511,1.2,3.5,0.335,7,8.3,0.845,2.3,7.1,9.4,3.1,2.5,1.5,2.4,2.5,52,27,0,5.2
27,Khris Middleton,MIL,28,55,44,11,30.1,21.1,7.7,15.5,0.499,2.4,5.8,0.418,3.2,3.6,0.908,0.7,5.5,6.2,4.1,2.1,0.9,0.1,2.2,35.8,5,0,9
144,Malik Beasley,MIN,23,55,30,25,22,11.2,4.1,9.7,0.425,1.9,5,0.388,1,1.2,0.818,0.3,2.4,2.7,1.4,1,0.7,0.1,1.4,18,1,0,-0.9
39,Jrue Holiday,NOP,30,55,24,31,34.9,19.6,7.7,16.9,0.452,2.1,5.9,0.357,2.2,3.1,0.7,1.3,3.6,4.9,6.9,2.9,1.7,0.8,2.3,40.3,10,1,0.7
233,Nerlens Noel,OKC,26,55,35,20,18.4,7.7,3.2,4.6,0.685,0,0.1,0.333,1.4,1.8,0.765,1.5,3.4,4.9,1,1,1,1.5,2.6,21.6,3,0,0.6
45,Danilo Gallinari,OKC,31,55,33,22,30.7,19.2,6,13.6,0.439,3,7.3,0.409,4.3,4.8,0.886,0.6,4.9,5.5,2.1,1.3,0.7,0.1,1.2,30,3,0,3.6
281,Chris Boucher,TOR,27,55,39,16,13.2,6.3,2.2,4.7,0.458,0.5,1.8,0.283,1.5,1.9,0.796,1.7,2.7,4.4,0.4,0.4,0.4,1,1.9,15.8,4,0,1.5
389,Jerome Robinson,WAS,23,55,35,20,13.6,3.7,1.4,3.9,0.347,0.6,1.9,0.298,0.4,0.5,0.69,0.2,1.8,1.9,1.2,0.6,0.4,0.3,1.5,9.1,0,0,0.5
6,Luka Doncic,DAL,21,54,34,20,33.3,28.7,9.5,20.6,0.461,2.9,9.1,0.318,6.8,9.1,0.752,1.3,8,9.3,8.7,4.2,1.1,0.2,2.5,52.5,34,14,4.8
255,Willie Cauley-Stein,DAL,26,54,16,38,20.3,7.2,3.2,5.6,0.579,0,0,0,0.7,1.2,0.606,1.6,4.3,5.8,1.3,0.7,0.9,1.1,2.2,21.5,3,0,-2.4
24,Andrew Wiggins,GSW,25,54,15,39,34.4,21.8,8.1,18.1,0.447,2.1,6.2,0.332,3.5,5,0.709,1.2,3.9,5.1,3.7,2.4,0.8,1,2.4,36.3,4,1,-3.7
118,Kyle Kuzma,LAL,24,54,43,11,24.6,12.5,4.7,10.9,0.432,1.3,4.4,0.297,1.8,2.4,0.738,0.9,3.6,4.5,1.3,1.6,0.4,0.4,2,20.5,2,0,3.1
67,Jaren Jackson Jr.,MEM,20,54,28,26,28,16.9,6.1,13,0.468,2.5,6.3,0.397,2.3,3.1,0.741,1,3.7,4.7,1.4,1.7,0.7,1.6,4.1,29.8,3,0,-2.1
323,Solomon Hill,MIA,29,54,28,26,18.4,5.4,1.9,4.6,0.403,1.1,2.9,0.378,0.6,0.8,0.714,0.5,2.4,2.9,1.8,0.9,0.7,0.2,1.4,13.3,0,0,-1.1
34,Jimmy Butler,MIA,30,54,36,18,34.3,20.2,6.1,13.4,0.454,0.5,2.2,0.248,7.6,9.1,0.833,1.8,4.8,6.6,6.1,2.2,1.7,0.5,1.4,42,10,3,4.2
73,Goran Dragic,MIA,34,54,34,20,28.4,16.1,5.4,12.3,0.437,2.2,5.8,0.377,3.1,4.1,0.769,0.5,2.6,3.1,5.1,2.5,0.6,0.1,1.9,27.1,3,0,2
87,JJ Redick,NOP,36,54,24,30,26.4,14.9,4.6,10.3,0.45,2.9,6.4,0.452,2.7,3,0.902,0.2,2.4,2.6,2,1.2,0.4,0.2,1.6,21.4,0,0,0.2
41,Nikola Vucevic,ORL,29,54,25,29,32.6,19.5,7.9,16.9,0.47,1.5,4.6,0.329,2.1,2.7,0.781,2.4,8.6,11,3.7,1.4,0.9,0.9,2.2,42.1,36,0,0.1
68,Ben Simmons,PHI,23,54,33,21,35.7,16.7,6.7,11.4,0.585,0,0.1,0.333,3.3,5.3,0.627,2,5.8,7.8,8.2,3.6,2.1,0.6,3.2,43,30,6,1.5
382,Elie Okobo,PHX,22,54,22,32,13.1,4,1.3,3.4,0.398,0.5,1.3,0.352,0.9,1.2,0.687,0.3,1.3,1.6,2.1,0.7,0.4,0.1,1,9.9,0,0,-1.2
81,Davis Bertans,WAS,27,54,20,34,29.3,15.4,4.9,11.3,0.434,3.7,8.7,0.424,1.9,2.3,0.852,0.6,3.9,4.5,1.7,1.1,0.7,0.6,2.6,26.2,1,0,-0.3
104,Marcus Smart,BOS,26,53,34,19,32.5,13.5,4.5,11.9,0.38,2.4,6.9,0.348,2,2.4,0.835,0.8,3.1,3.8,4.8,1.7,1.6,0.5,2.7,30.1,3,0,4.5
248,Bismack Biyombo,CHA,27,53,18,35,19.4,7.4,2.8,5.2,0.543,0,0,0,1.7,2.8,0.603,2.3,3.5,5.8,0.9,0.9,0.2,0.9,2.2,18.2,8,0,-2.9
258,Mason Plumlee,DEN,30,53,35,18,17,7.2,2.9,4.7,0.617,0,0.1,0,1.4,2.6,0.536,1.7,3.6,5.3,2.4,1.4,0.5,0.6,2.4,19.2,2,0,-0.2
7,Russell Westbrook,HOU,31,53,34,19,35.9,27.5,10.7,22.6,0.474,1,3.8,0.254,5.1,6.5,0.777,1.8,6.3,8,7,4.5,1.7,0.3,3.5,49.1,21,8,2.7
359,Darius Bazley,OKC,20,53,32,21,17.2,4.5,1.7,4.3,0.383,0.6,1.9,0.3,0.6,0.9,0.681,0.4,3.3,3.7,0.5,0.8,0.4,0.7,0.8,12.1,0,0,-1.2
235,Gary Trent Jr.,POR,21,53,23,30,20,7.7,2.8,6.6,0.426,1.5,3.8,0.388,0.6,0.7,0.833,0.4,1.3,1.7,0.9,0.4,0.7,0.2,1.3,13.7,0,0,-2.1
229,Trevor Ariza,POR,35,53,22,31,28.2,8,2.7,6.1,0.438,1.5,3.9,0.372,1.2,1.4,0.838,0.6,4,4.6,1.7,1.1,1.3,0.3,2.1,19.8,0,0,-0.2
