Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance,2P_% of FG Ast'd,3P_% of FG Ast'd,%FGA_Dunks,#_Dunks,%3PA_Corner 3s,3P%_Corner 3s
1,Steven Adams,C,26,OKC,58,1564,0.591,4.3,0.993,0.53,0.388,0.072,0.002,0.007,0.593,0.745,0.39,0.563,1,0.333,0.67,1,0.181,74,0.333,0
2,Bam Adebayo,PF,22,MIA,65,2235,0.567,5.7,0.982,0.483,0.303,0.149,0.047,0.018,0.576,0.735,0.454,0.421,0.235,0.077,0.717,1,0.224,146,0.615,0.125
3,LaMarcus Aldridge,C,34,SAS,53,1754,0.493,13.7,0.802,0.202,0.129,0.227,0.245,0.198,0.519,0.719,0.471,0.461,0.433,0.389,0.567,0.951,0.044,31,0.185,0.379
4,Nickeil Alexander-Walker,SG,21,NOP,41,501,0.339,16.3,0.485,0.229,0.172,0.057,0.026,0.515,0.336,0.462,0.205,0.231,0.333,0.342,0.135,0.9,0.004,1,0.188,0.364
5,Grayson Allen,SG,24,MEM,30,498,0.449,15.7,0.483,0.188,0.199,0.091,0.006,0.517,0.541,0.758,0.4,0.438,0,0.363,0.587,0.97,0.063,10,0.275,0.48
6,Jarrett Allen,C,21,BRK,64,1647,0.646,2.4,0.988,0.772,0.201,0.012,0.002,0.012,0.654,0.737,0.373,0.2,0,0,0.79,,0.472,165,0.8,0
7,Kadeem Allen,SG,27,NYK,10,117,0.432,15.1,0.636,0.159,0.182,0.227,0.068,0.364,0.5,0.571,0.375,0.6,0.333,0.313,0.286,0.8,0,0,0.313,0.4
8,Al-Farouq Aminu,PF,29,ORL,18,380,0.291,13.3,0.581,0.267,0.244,0,0.07,0.419,0.32,0.435,0.19,,0.333,0.25,0.438,0.889,0.012,1,0.222,0.375
9,Justin Anderson,SF,26,BRK,3,17,0.167,13.7,0.5,0.5,0,0,0,0.5,0.333,0.333,,,,0,1,,0.167,1,0.333,0
10,Kyle Anderson,PF,26,MEM,59,1140,0.493,11.1,0.779,0.286,0.261,0.132,0.1,0.221,0.56,0.65,0.548,0.432,0.5,0.258,0.574,1,0.036,10,0.613,0.237
11,Ryan Anderson,PF,31,HOU,2,14,0.286,21.4,0.286,0.143,0,0.143,0,0.714,0.5,0,,1,,0.2,0,1,0,0,0,
12,Giannis Antetokounmpo,PF,25,MIL,57,1763,0.547,9.9,0.762,0.478,0.161,0.072,0.051,0.238,0.622,0.767,0.344,0.427,0.414,0.306,0.433,0.59,0.164,174,0.037,0.5
13,Kostas Antetokounmpo,PF,22,LAL,3,5,,,,,,,,,,,,,,,,,,0,,
14,Thanasis Antetokounmpo,SF,27,MIL,18,93,0.528,6.7,0.806,0.722,0.028,0.056,0,0.194,0.655,0.654,0,1,,0,0.526,,0.222,8,0.429,0
15,Carmelo Anthony,PF,35,POR,50,1623,0.426,14.5,0.714,0.197,0.1,0.227,0.19,0.286,0.447,0.537,0.441,0.422,0.388,0.371,0.396,0.931,0.032,15,0.186,0.528
16,OG Anunoby,SF,22,TOR,63,1897,0.507,11.6,0.592,0.454,0.108,0.021,0.009,0.408,0.593,0.686,0.281,0.364,0.2,0.381,0.643,0.951,0.156,79,0.488,0.371
17,Ryan Arcidiacono,PG,25,CHI,58,930,0.409,18.4,0.373,0.15,0.1,0.1,0.023,0.627,0.439,0.606,0.318,0.318,0.4,0.391,0.5,0.889,0,0,0.29,0.475
18,Trevor Ariza,SF,34,TOT,53,1493,0.438,17,0.361,0.269,0.065,0.012,0.015,0.639,0.556,0.701,0.19,0,0,0.372,0.692,0.948,0.059,16,0.377,0.397
19,D.J. Augustin,PG,32,ORL,49,1215,0.393,16,0.562,0.184,0.174,0.128,0.076,0.438,0.43,0.589,0.246,0.49,0.367,0.345,0.198,0.6,0,0,0.121,0.333
20,Deandre Ayton,C,21,PHO,30,996,0.548,6.3,0.994,0.471,0.23,0.194,0.099,0.006,0.552,0.703,0.449,0.411,0.348,0,0.729,,0.163,67,0,
21,Dwayne Bacon,SG,24,CHO,39,687,0.348,11.6,0.725,0.32,0.238,0.107,0.061,0.275,0.373,0.449,0.345,0.231,0.333,0.284,0.47,0.895,0.012,3,0.149,0.3
22,Marvin Bagley III,PF,20,SAC,13,334,0.467,8.2,0.868,0.431,0.293,0.06,0.084,0.132,0.51,0.681,0.306,0.2,0.571,0.182,0.635,1,0.174,25,0.045,0
23,Lonzo Ball,PG,22,NOP,56,1817,0.412,17.8,0.422,0.213,0.08,0.049,0.081,0.578,0.453,0.619,0.26,0.323,0.294,0.383,0.417,0.82,0.025,15,0.212,0.377
24,Mo Bamba,C,21,ORL,60,868,0.468,12.2,0.631,0.411,0.128,0.032,0.06,0.369,0.534,0.681,0.194,0.444,0.294,0.356,0.537,1,0.145,39,0.106,0.182
25,J.J. Barea,PG,35,DAL,26,391,0.413,15,0.575,0.263,0.145,0.106,0.061,0.425,0.437,0.574,0.269,0.316,0.455,0.382,0.111,0.414,0,0,0.105,0.5
26,Harrison Barnes,PF,27,SAC,64,2231,0.459,12,0.658,0.286,0.281,0.063,0.028,0.342,0.498,0.69,0.365,0.311,0.3,0.383,0.519,0.871,0.041,26,0.35,0.341
27,RJ Barrett,SG,19,NYK,56,1704,0.402,10.7,0.729,0.392,0.201,0.065,0.072,0.271,0.432,0.568,0.267,0.277,0.288,0.32,0.354,0.937,0.056,35,0.299,0.356
28,Will Barton,SF,29,DEN,58,1916,0.45,13.5,0.61,0.286,0.186,0.079,0.06,0.39,0.498,0.616,0.328,0.414,0.568,0.375,0.393,0.704,0.037,25,0.122,0.486
29,Keita Bates-Diop,SF,24,TOT,39,665,0.428,13.3,0.548,0.361,0.135,0.038,0.014,0.452,0.509,0.653,0.25,0.125,0.333,0.33,0.672,0.968,0.038,8,0.404,0.421
30,Nicolas Batum,SF,31,CHO,22,505,0.346,18.1,0.395,0.222,0.012,0.074,0.086,0.605,0.438,0.611,1,0.333,0,0.286,0.214,0.929,0.037,3,0.388,0.316
31,Aron Baynes,C,33,PHO,42,934,0.48,13.3,0.559,0.333,0.171,0.039,0.016,0.441,0.582,0.638,0.569,0.333,0.167,0.351,0.734,1,0.081,28,0.143,0.25
32,Kent Bazemore,SF-SG,30,TOT,64,1604,0.374,15,0.539,0.267,0.135,0.071,0.067,0.461,0.401,0.53,0.239,0.314,0.303,0.342,0.477,0.949,0.028,14,0.456,0.298
33,Darius Bazley,PF,19,OKC,53,909,0.383,13,0.565,0.3,0.222,0.026,0.017,0.435,0.446,0.623,0.216,0.333,0.5,0.3,0.638,0.967,0.1,20,0.43,0.326
34,Bradley Beal,SG,26,WAS,57,2053,0.455,14.7,0.631,0.239,0.141,0.135,0.115,0.369,0.515,0.689,0.397,0.438,0.387,0.353,0.376,0.635,0.035,41,0.119,0.316
35,Malik Beasley,SG,23,TOT,55,1209,0.425,16.7,0.483,0.189,0.129,0.096,0.069,0.517,0.465,0.634,0.261,0.471,0.378,0.388,0.667,0.888,0.03,13,0.185,0.451
36,Marco Belinelli,SG,33,SAS,52,779,0.391,20.6,0.428,0.085,0.041,0.052,0.251,0.572,0.422,0.609,0.182,0.357,0.412,0.368,0.939,0.877,0,0,0.213,0.333
37,Jordan Bell,C-PF,25,TOT,29,256,0.522,7.2,0.821,0.627,0.119,0.045,0.03,0.179,0.564,0.643,0.5,0,0,0.333,0.742,0.75,0.134,8,0.667,0.5
38,DeAndre' Bembry,SG,25,ATL,43,915,0.456,9.7,0.715,0.469,0.206,0.031,0.009,0.285,0.546,0.607,0.426,0.571,0,0.231,0.584,1,0.096,19,0.4,0.308
39,Dragan Bender,SF,22,TOT,16,286,0.446,13.9,0.533,0.272,0.261,0,0,0.467,0.531,0.68,0.375,,,0.349,0.846,1,0.065,6,0.279,0.417
40,Dāvis Bertāns,PF,27,WAS,54,1583,0.434,22.2,0.226,0.097,0.059,0.034,0.036,0.774,0.471,0.644,0.306,0.429,0.318,0.424,0.754,0.915,0.025,14,0.078,0.568
41,Patrick Beverley,PG,31,LAC,48,1299,0.428,17.3,0.391,0.197,0.138,0.043,0.012,0.609,0.504,0.594,0.467,0.286,0.25,0.379,0.313,0.973,0.006,1,0.313,0.419
42,Khem Birch,C,27,ORL,40,777,0.487,4.7,0.991,0.443,0.487,0.061,0,0.009,0.491,0.686,0.339,0.286,,0,0.696,,0.191,20,1,0
43,Goga Bitadze,C,20,IND,49,410,0.473,13.7,0.721,0.248,0.163,0.155,0.155,0.279,0.591,0.781,0.571,0.35,0.55,0.167,0.873,1,0.085,11,0.111,0.25
44,Bismack Biyombo,C,27,CHO,53,1029,0.543,3.6,1,0.604,0.32,0.065,0.011,0,0.543,0.702,0.315,0.278,0,,0.834,,0.212,56,,
45,Nemanja Bjelica,PF,31,SAC,64,1821,0.475,15.4,0.512,0.255,0.197,0.028,0.031,0.488,0.524,0.617,0.454,0.353,0.368,0.424,0.537,0.944,0.026,16,0.136,0.525
46,Eric Bledsoe,PG,30,MIL,56,1524,0.482,12.1,0.696,0.341,0.19,0.095,0.069,0.304,0.54,0.717,0.349,0.397,0.391,0.348,0.313,0.457,0.003,2,0.124,0.28
47,Bogdan Bogdanović,SG,27,SAC,53,1510,0.433,18.9,0.405,0.114,0.121,0.091,0.08,0.595,0.541,0.658,0.468,0.448,0.588,0.361,0.357,0.839,0.003,2,0.182,0.348
48,Bojan Bogdanović,SF,30,UTA,63,2083,0.447,15.4,0.511,0.195,0.207,0.08,0.029,0.489,0.479,0.698,0.361,0.333,0.259,0.414,0.507,0.857,0.029,22,0.282,0.473
49,Jonah Bolden,PF,24,TOT,7,47,0.364,9.6,0.636,0.636,0,0,0,0.364,0.571,0.571,,,,0,0.5,,0.182,1,0.5,0
50,Marques Bolden,C,21,CLE,1,3,,,,,,,,,,,,,,,,,,0,,
51,Jordan Bone,PG,22,DET,10,53,0.25,17.8,0.5,0.05,0.15,0.25,0.05,0.5,0.3,1,0,0.4,0,0.2,0.667,0.5,0,0,0,
52,Isaac Bonga,SF,20,WAS,58,1025,0.522,9.9,0.701,0.467,0.179,0.038,0.016,0.299,0.574,0.651,0.485,0.143,0.333,0.4,0.595,1,0.043,6,0.418,0.478
53,Devin Booker,SG,23,PHO,62,2241,0.487,14.1,0.687,0.233,0.131,0.21,0.114,0.313,0.544,0.723,0.452,0.472,0.417,0.36,0.44,0.619,0.016,18,0.094,0.364
54,Chris Boucher,PF,27,TOR,55,724,0.458,11.5,0.619,0.481,0.104,0.012,0.023,0.381,0.565,0.616,0.444,0,0.333,0.283,0.67,1,0.173,42,0.152,0.133
55,Brian Bowen,SG,21,IND,5,29,0.222,10.9,0.778,0.333,0.222,0.111,0.111,0.222,0.286,0,1,0,0,0,0.5,,0,0,1,0
56,Ky Bowman,PG,22,GSW,45,1015,0.417,14.8,0.667,0.209,0.159,0.146,0.153,0.333,0.472,0.657,0.314,0.468,0.388,0.308,0.446,0.727,0.04,11,0.234,0.44
57,Avery Bradley,SG,29,LAL,49,1186,0.444,16.9,0.548,0.17,0.091,0.076,0.211,0.452,0.51,0.646,0.429,0.448,0.457,0.364,0.738,0.921,0.005,2,0.468,0.358
58,Tony Bradley,C,22,UTA,50,535,0.665,2.7,0.994,0.748,0.226,0.013,0.006,0.006,0.662,0.759,0.371,0.5,0,1,0.657,1,0.206,27,0,
59,Jarrell Brantley,PF,23,UTA,5,13,,,,,,,,,,,,,,,,,,0,,
60,Ignas Brazdeikis,SF,21,NYK,9,53,0.273,15.7,0.591,0.273,0.136,0.045,0.136,0.409,0.385,0.833,0,0,0,0.111,0.2,1,0,0,0.111,0
61,Mikal Bridges,SF,23,PHO,65,1772,0.516,12.4,0.609,0.403,0.111,0.064,0.032,0.391,0.621,0.738,0.4,0.346,0.462,0.352,0.766,1,0.111,39,0.478,0.408
62,Miles Bridges,SF,21,CHO,65,1995,0.424,12.9,0.602,0.308,0.226,0.05,0.017,0.398,0.486,0.621,0.335,0.316,0.538,0.33,0.514,0.939,0.07,47,0.353,0.377
63,Oshae Brissett,SF,21,TOR,19,135,0.361,11.7,0.583,0.389,0.167,0.028,0,0.417,0.476,0.714,0,0,,0.2,0.6,1,0.194,6,0.533,0.25
64,Ryan Broekhoff,SG,29,DAL,17,180,0.373,22.5,0.136,0.068,0.034,0.034,0,0.864,0.25,0.25,0.5,0,,0.392,0.5,0.95,0,0,0.294,0.4
65,Malcolm Brogdon,PG,27,IND,48,1472,0.439,13.8,0.704,0.326,0.083,0.106,0.188,0.296,0.491,0.535,0.291,0.529,0.484,0.313,0.197,0.393,0.009,6,0.072,0.214
66,Dillon Brooks,SG,24,MEM,65,1851,0.402,15.6,0.613,0.178,0.147,0.174,0.114,0.387,0.423,0.503,0.353,0.429,0.381,0.369,0.533,0.879,0.013,9,0.101,0.361
67,Bruce Brown,SG,23,DET,58,1634,0.443,8.5,0.785,0.391,0.347,0.036,0.011,0.215,0.47,0.6,0.355,0.25,0.2,0.344,0.382,0.97,0.056,21,0.625,0.417
68,Charlie Brown,SG,22,ATL,10,40,0.316,14.3,0.526,0.263,0.211,0.053,0,0.474,0.3,0.2,0.5,0,,0.333,1,1,0.053,1,0.222,0
69,Jaylen Brown,SF,23,BOS,50,1702,0.49,13.3,0.636,0.275,0.202,0.093,0.066,0.364,0.552,0.708,0.417,0.5,0.392,0.381,0.469,0.888,0.047,31,0.278,0.474
70,Moses Brown,C,20,POR,9,33,0.4,2,1,0.8,0.2,0,0,0,0.4,0.375,0.5,,,,0.75,,0.2,1,,
71,Sterling Brown,SF,24,MIL,45,665,0.367,16.3,0.477,0.239,0.119,0.06,0.06,0.523,0.423,0.558,0.308,0.462,0.077,0.316,0.5,0.889,0.028,5,0.316,0.444
72,Troy Brown Jr.,SG,20,WAS,61,1519,0.453,13.3,0.713,0.277,0.196,0.103,0.138,0.287,0.496,0.7,0.374,0.365,0.357,0.345,0.531,0.98,0.036,15,0.255,0.486
73,Jalen Brunson,PG,23,DAL,57,1022,0.466,13.6,0.691,0.178,0.258,0.139,0.116,0.309,0.515,0.623,0.5,0.5,0.4,0.358,0.239,0.814,0,0,0.233,0.357
74,Thomas Bryant,C,22,WAS,38,901,0.599,9.8,0.824,0.436,0.143,0.104,0.14,0.176,0.64,0.813,0.477,0.438,0.419,0.407,0.79,0.909,0.186,56,0.111,0.333
75,Reggie Bullock,SG,28,NYK,29,684,0.402,18,0.504,0.161,0.071,0.076,0.196,0.496,0.469,0.694,0.188,0.412,0.409,0.333,0.717,0.973,0.004,1,0.27,0.3
76,Trey Burke,PG,27,PHI,25,329,0.465,14.4,0.701,0.252,0.118,0.134,0.197,0.299,0.483,0.688,0.2,0.588,0.32,0.421,0.395,0.938,0,0,0.132,0.8
77,Alec Burks,SG,28,TOT,59,1612,0.404,15.4,0.611,0.204,0.163,0.128,0.116,0.389,0.428,0.545,0.342,0.4,0.37,0.366,0.437,0.7,0.014,10,0.172,0.426
78,Deonte Burton,SG,26,OKC,34,284,0.371,14.5,0.562,0.333,0.162,0.019,0.048,0.438,0.492,0.657,0.235,0,0.4,0.217,0.724,0.9,0.038,4,0.239,0.182
79,Jimmy Butler,SF,30,MIA,54,1851,0.454,10.2,0.838,0.335,0.258,0.15,0.096,0.162,0.494,0.649,0.435,0.389,0.275,0.248,0.391,0.552,0.072,52,0.197,0.217
80,Bruno Caboclo,SF,24,TOT,27,220,0.416,11.6,0.636,0.416,0.169,0,0.052,0.364,0.571,0.656,0.385,,0.5,0.143,0.679,1,0.13,8,0.464,0.231
81,Kentavious Caldwell-Pope,SG,26,LAL,63,1603,0.472,16.1,0.526,0.24,0.073,0.099,0.114,0.474,0.543,0.661,0.529,0.391,0.434,0.394,0.752,0.931,0.034,14,0.38,0.417
82,Vlatko Čančar,SF,22,DEN,14,45,0.4,12.9,0.6,0.4,0.133,0,0.067,0.4,0.556,0.667,0.5,,0,0.167,0.6,1,0.133,2,0.167,0
83,Clint Capela,C,25,HOU,39,1279,0.629,2.3,1,0.76,0.232,0.008,0,0,0.629,0.722,0.333,0.333,,,0.803,,0.327,123,,
84,DeMarre Carroll,SF,33,TOT,21,231,0.389,15.1,0.5,0.241,0.204,0.056,0,0.5,0.519,0.615,0.364,0.667,,0.259,0.643,0.857,0,0,0.37,0.5
85,Jevon Carter,PG,24,PHO,50,754,0.4,18.3,0.429,0.161,0.083,0.073,0.112,0.571,0.409,0.485,0.176,0.4,0.478,0.393,0.417,0.913,0.005,1,0.308,0.389
86,Vince Carter,SF,43,ATL,60,876,0.352,20.4,0.336,0.079,0.082,0.102,0.072,0.664,0.451,0.417,0.56,0.419,0.409,0.302,0.457,0.869,0.007,2,0.188,0.342
87,Wendell Carter Jr.,C,20,CHI,43,1256,0.534,6,0.915,0.571,0.204,0.096,0.044,0.085,0.564,0.694,0.286,0.515,0.267,0.207,0.695,1,0.236,73,0.414,0.167
88,Michael Carter-Williams,SG,28,ORL,42,773,0.434,10.5,0.719,0.347,0.277,0.07,0.025,0.281,0.489,0.595,0.418,0.412,0,0.294,0.482,0.95,0.054,11,0.294,0.3
89,Alex Caruso,PG,25,LAL,58,1032,0.423,13.7,0.588,0.315,0.142,0.088,0.042,0.412,0.471,0.72,0.189,0.13,0.273,0.355,0.569,0.895,0.046,9,0.327,0.343
90,Willie Cauley-Stein,C,26,TOT,54,1097,0.579,5.4,0.997,0.56,0.238,0.093,0.106,0.003,0.581,0.787,0.389,0.286,0.188,0,0.789,,0.295,84,0,
91,Tyson Chandler,C,37,HOU,26,219,0.778,1.4,1,1,0,0,0,0,0.778,0.778,,,,,0.857,,0.611,11,,
92,Wilson Chandler,SF,32,BRK,35,734,0.404,18.8,0.339,0.098,0.164,0.038,0.038,0.661,0.597,0.722,0.533,0.286,0.857,0.306,0.514,1,0.005,1,0.256,0.387
93,Joe Chealey,PG,24,CHO,4,33,0,16.7,0.429,0,0.429,0,0,0.571,0,,0,,,0,,,0,0,0.75,0
94,Zylan Cheatham,SF,24,NOP,3,31,0.4,9,0.8,0.4,0.2,0.2,0,0.2,0.5,1,0,0,,0,1,,0,0,0,
95,Chris Chiozza,PG,24,TOT,21,249,0.405,16.2,0.481,0.228,0.139,0.063,0.051,0.519,0.368,0.5,0.364,0,0.25,0.439,0.214,0.778,0,0,0.098,0.5
96,Marquese Chriss,PF,22,GSW,59,1196,0.545,5.8,0.899,0.613,0.223,0.029,0.034,0.101,0.584,0.674,0.395,0.364,0.385,0.205,0.743,1,0.304,99,0.077,0.667
97,Gary Clark,PF,25,TOT,35,425,0.376,21.8,0.149,0.109,0.03,0.01,0,0.851,0.667,0.818,0.333,0,,0.326,0.6,1,0.03,3,0.326,0.429
98,Brandon Clarke,PF,23,MEM,50,1086,0.623,7.4,0.873,0.48,0.208,0.159,0.025,0.127,0.654,0.781,0.494,0.523,0.4,0.404,0.82,1,0.164,66,0.385,0.35
99,Jordan Clarkson,SG,27,TOT,63,1527,0.465,15,0.531,0.203,0.23,0.073,0.025,0.469,0.55,0.719,0.48,0.364,0.368,0.368,0.241,0.754,0.013,10,0.232,0.427
100,Nicolas Claxton,PF,20,BRK,15,187,0.563,6.3,0.854,0.521,0.292,0.021,0.021,0.146,0.634,0.8,0.357,1,0,0.143,0.692,1,0.313,14,0.571,0
101,Chris Clemons,SG,22,HOU,29,251,0.405,21.2,0.254,0.198,0.008,0.024,0.024,0.746,0.563,0.6,1,0.333,0.333,0.351,0.333,0.545,0.032,4,0.021,0.5
102,Antonius Cleveland,SG,25,DAL,6,22,0.333,11,0.833,0.333,0.167,0.167,0.167,0.167,0.4,0.5,1,0,0,0,0,,0,0,0,
103,Amir Coffey,SG,22,LAC,13,98,0.394,10.6,0.788,0.303,0.242,0.182,0.061,0.212,0.462,0.5,0.25,0.667,0.5,0.143,0.5,1,0.03,1,0.286,0
104,John Collins,PF,22,ATL,41,1363,0.583,9.4,0.757,0.469,0.185,0.068,0.035,0.243,0.642,0.768,0.473,0.293,0.524,0.401,0.748,0.966,0.221,117,0.129,0.368
105,Zach Collins,PF,22,POR,3,86,0.474,12.9,0.632,0.368,0.105,0.105,0.053,0.368,0.5,0.714,0,0.5,0,0.429,0.833,1,0.053,1,0.143,0
106,Mike Conley,PG,32,UTA,41,1171,0.405,16,0.562,0.136,0.214,0.14,0.072,0.438,0.429,0.576,0.385,0.338,0.457,0.376,0.239,0.6,0,0,0.188,0.45
107,Pat Connaughton,SG,27,MIL,61,1119,0.456,15.1,0.475,0.383,0.061,0.011,0.019,0.525,0.605,0.71,0.25,0,0,0.321,0.72,0.932,0.107,27,0.109,0.4
108,Quinn Cook,PG,26,LAL,38,409,0.439,15.7,0.618,0.191,0.139,0.092,0.197,0.382,0.477,0.636,0.333,0.625,0.353,0.379,0.353,0.76,0,0,0.242,0.375
109,Tyler Cook,PF,22,CLE,11,35,0.7,2.9,1,0.8,0.1,0.1,0,0,0.7,0.625,1,1,,,0.571,,0.4,1,,
110,Robert Covington,PF,29,TOT,62,1867,0.432,18.6,0.346,0.221,0.091,0.014,0.02,0.654,0.589,0.671,0.441,0.444,0.462,0.349,0.78,0.919,0.017,10,0.118,0.38
111,Allen Crabbe,SG,27,TOT,37,653,0.356,20.7,0.328,0.068,0.085,0.096,0.079,0.672,0.466,0.75,0.333,0.412,0.429,0.303,0.667,1,0.006,1,0.244,0.414
112,Torrey Craig,SF,29,DEN,50,869,0.462,15.2,0.476,0.322,0.091,0.029,0.034,0.524,0.606,0.746,0.316,0.167,0.429,0.33,0.65,0.972,0.043,7,0.367,0.3
113,Jae Crowder,SF,29,TOT,58,1695,0.384,19.2,0.308,0.193,0.045,0.019,0.051,0.692,0.532,0.636,0.348,0.2,0.423,0.318,0.631,0.85,0.008,4,0.225,0.325
114,Jarrett Culver,SG,20,MIN,63,1506,0.404,12.1,0.612,0.38,0.186,0.03,0.016,0.388,0.471,0.583,0.274,0.412,0.222,0.299,0.396,0.758,0.06,31,0.176,0.205
115,Seth Curry,SG,29,DAL,59,1448,0.5,18.9,0.436,0.092,0.13,0.1,0.115,0.564,0.56,0.714,0.449,0.566,0.557,0.453,0.423,0.787,0,0,0.163,0.429
116,Stephen Curry,PG,31,GSW,5,139,0.402,19.8,0.402,0.207,0.061,0.012,0.122,0.598,0.636,0.706,0.4,1,0.6,0.245,0.333,0.667,0,0,0.122,0.333
117,Troy Daniels,SG,28,TOT,42,457,0.39,21.3,0.289,0.063,0.069,0.069,0.088,0.711,0.478,0.7,0.545,0.455,0.286,0.354,0.727,0.95,0,0,0.283,0.406
118,Anthony Davis,PF,26,LAL,55,1889,0.511,11,0.805,0.346,0.174,0.157,0.128,0.195,0.554,0.753,0.434,0.417,0.346,0.335,0.582,1,0.159,144,0.175,0.441
119,Ed Davis,C,30,UTA,25,268,0.412,3.5,1,0.618,0.353,0,0.029,0,0.412,0.571,0.083,,1,,0.5,,0.059,2,,
120,Terence Davis,SG,22,TOR,64,1087,0.463,16,0.432,0.302,0.084,0.036,0.01,0.568,0.55,0.686,0.303,0.143,0,0.396,0.409,0.909,0.059,16,0.239,0.472
121,Dewayne Dedmon,C,30,TOT,44,774,0.4,13.5,0.58,0.325,0.153,0.047,0.055,0.42,0.541,0.675,0.333,0.417,0.429,0.206,0.738,0.955,0.11,24,0.187,0.15
122,Matthew Dellavedova,PG,29,CLE,57,821,0.354,16.6,0.48,0.137,0.229,0.103,0.011,0.52,0.488,0.542,0.4,0.611,0.5,0.231,0.317,0.905,0,0,0.165,0.333
123,DeMar DeRozan,SF,30,SAS,61,2091,0.526,9.6,0.969,0.269,0.26,0.258,0.181,0.031,0.535,0.739,0.478,0.453,0.428,0.267,0.271,0.875,0.03,28,0.333,0.4
124,Cheick Diallo,C,23,PHO,44,467,0.65,4.9,0.985,0.613,0.19,0.102,0.08,0.015,0.652,0.762,0.462,0.571,0.364,0.5,0.83,1,0.161,20,0.5,1
125,Hamidou Diallo,SF,21,OKC,38,699,0.452,7.7,0.84,0.484,0.247,0.064,0.046,0.16,0.5,0.67,0.222,0.357,0.4,0.2,0.674,0.857,0.155,28,0.743,0.269
126,Gorgui Dieng,C,30,TOT,58,1012,0.461,14.6,0.586,0.294,0.105,0.079,0.108,0.414,0.532,0.673,0.333,0.407,0.432,0.359,0.71,0.961,0.085,26,0.261,0.432
