Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance,2P_% of FG Ast'd,3P_% of FG Ast'd,%FGA_Dunks,#_Dunks,%3PA_Corner 3s,3P%_Corner 3s
385,Patrick Patterson,PF,30,LAC,51,607,0.404,20.6,0.245,0.112,0.059,0.037,0.037,0.755,0.457,0.524,0.455,0.429,0.286,0.387,0.81,1,0.048,7,0.38,0.407
386,Justin Patton,C,22,OKC,5,24,0.4,13.5,0.6,0.2,0.3,0,0.1,0.4,0.5,0.5,0.667,,0,0.25,1,1,0.1,1,0.5,0
387,Chris Paul,PG,34,OKC,63,2003,0.489,17.1,0.653,0.071,0.12,0.309,0.153,0.347,0.557,0.86,0.505,0.526,0.52,0.362,0.13,0.327,0,0,0.097,0.296
388,Elfrid Payton,PG,25,NYK,45,1246,0.439,8.7,0.843,0.407,0.268,0.105,0.064,0.157,0.482,0.575,0.407,0.348,0.429,0.203,0.212,0.857,0.02,9,0.159,0.273
389,Gary Payton II,PG,27,WAS,29,432,0.414,11.7,0.603,0.431,0.129,0.034,0.009,0.397,0.5,0.64,0.067,0.25,1,0.283,0.629,1,0.095,10,0.391,0.278
390,Norvel Pelle,C,26,PHI,20,178,0.514,2,1,0.857,0.114,0.029,0,0,0.514,0.567,0.25,0,,,0.611,,0.257,8,,
391,Theo Pinson,SG,24,BRK,33,365,0.29,15.9,0.484,0.348,0.09,0.032,0.013,0.516,0.4,0.481,0.143,0,1,0.188,0.167,0.667,0.026,2,0.05,0
392,Mason Plumlee,C,29,DEN,53,900,0.617,3.5,0.984,0.694,0.218,0.052,0.02,0.016,0.627,0.767,0.333,0.231,0,0,0.712,,0.339,76,0.5,0
393,Jakob Poeltl,C,24,SAS,58,965,0.619,3.5,1,0.647,0.266,0.087,0,0,0.619,0.688,0.466,0.579,,,0.741,,0.119,24,,
394,Vincent Poirier,C,26,BOS,21,114,0.485,8.2,0.939,0.455,0.212,0.121,0.152,0.061,0.484,0.533,0.571,0,0.6,0.5,0.733,1,0.182,6,0,
395,Shamorie Ponds,PG,21,TOR,4,11,0.6,11.4,0.6,0.6,0,0,0,0.4,0.667,0.667,,,,0.5,0.5,1,0,0,0,
396,Jordan Poole,SG,20,GSW,57,1274,0.333,19.1,0.472,0.129,0.094,0.086,0.163,0.528,0.392,0.523,0.426,0.349,0.293,0.279,0.462,0.851,0.006,3,0.113,0.367
397,Kevin Porter Jr.,SF,19,CLE,50,1162,0.442,14,0.625,0.295,0.121,0.105,0.105,0.375,0.506,0.718,0.353,0.295,0.295,0.335,0.444,0.755,0.088,36,0.196,0.419
398,Michael Porter Jr.,PF,21,DEN,48,670,0.495,13.2,0.642,0.34,0.137,0.049,0.116,0.358,0.536,0.701,0.308,0.286,0.424,0.422,0.592,0.837,0.109,26,0.206,0.524
399,Otto Porter,SF,26,CHI,14,331,0.443,16.2,0.557,0.164,0.193,0.086,0.114,0.443,0.487,0.391,0.704,0.333,0.375,0.387,0.342,0.917,0.007,1,0.226,0.429
400,Bobby Portis,C,24,NYK,66,1393,0.45,13.9,0.683,0.212,0.211,0.114,0.146,0.317,0.493,0.616,0.484,0.388,0.407,0.358,0.566,0.985,0.029,15,0.193,0.417
401,Kristaps Porziņģis,PF,24,DAL,51,1597,0.42,16.7,0.553,0.187,0.124,0.168,0.074,0.447,0.477,0.722,0.29,0.382,0.383,0.349,0.695,0.968,0.094,70,0.033,0.417
402,Dwight Powell,C,28,DAL,40,1061,0.638,6.1,0.83,0.677,0.135,0.013,0.004,0.17,0.716,0.813,0.323,0,0,0.256,0.809,1,0.279,57,0.308,0.333
403,Norman Powell,SG,26,TOR,44,1269,0.502,14.1,0.543,0.349,0.122,0.027,0.045,0.457,0.589,0.683,0.413,0.357,0.478,0.398,0.679,0.947,0.058,27,0.314,0.432
404,Chasson Randle,PG,26,GSW,3,40,0,19.8,0.5,0,0,0.25,0.25,0.5,0,,,0,0,0,,,0,0,0,
405,Julius Randle,PF,25,NYK,64,2080,0.46,10.5,0.77,0.358,0.235,0.097,0.081,0.23,0.515,0.631,0.424,0.439,0.358,0.277,0.404,0.938,0.056,51,0.169,0.385
406,Josh Reaves,SG,22,DAL,2,1,0,13,1,0,0,1,0,0,0,,,0,,,,,0,0,,
407,Cam Reddish,SF,20,ATL,58,1551,0.384,15.4,0.549,0.227,0.134,0.085,0.103,0.451,0.428,0.54,0.365,0.319,0.351,0.332,0.508,0.867,0.056,17,0.284,0.338
408,J.J. Redick,SG,35,NOP,54,1425,0.45,21,0.382,0.072,0.052,0.059,0.199,0.618,0.446,0.575,0.241,0.364,0.477,0.452,0.811,0.929,0,0,0.151,0.5
409,Naz Reid,C,20,MIN,30,495,0.412,12.2,0.601,0.379,0.198,0.025,0,0.399,0.466,0.598,0.25,0.167,,0.33,0.603,0.938,0.062,12,0.155,0.467
410,Josh Richardson,SG,26,PHI,48,1474,0.429,15.9,0.627,0.171,0.139,0.152,0.166,0.373,0.489,0.622,0.388,0.345,0.568,0.327,0.415,0.814,0.024,14,0.117,0.32
411,Austin Rivers,SG,27,HOU,60,1402,0.421,15.5,0.463,0.271,0.157,0.028,0.007,0.537,0.495,0.564,0.426,0.167,0.667,0.358,0.283,0.747,0.002,1,0.216,0.42
412,Duncan Robinson,SF,25,MIA,65,1949,0.467,23.3,0.114,0.062,0.028,0.01,0.015,0.886,0.614,0.816,0.529,0.167,0.222,0.448,0.837,0.959,0.007,2,0.243,0.508
413,Glenn Robinson III,SF,26,TOT,60,1743,0.486,14.4,0.67,0.215,0.17,0.114,0.171,0.33,0.535,0.702,0.459,0.455,0.455,0.387,0.778,0.919,0.069,35,0.377,0.417
414,Jerome Robinson,SG,22,TOT,55,748,0.347,17.4,0.519,0.125,0.134,0.12,0.139,0.481,0.393,0.63,0.207,0.5,0.267,0.298,0.455,0.903,0.028,3,0.308,0.25
415,Justin Robinson,PG,22,WAS,9,49,0.417,20.4,0.583,0,0.083,0,0.5,0.417,0.286,,1,,0.167,0.6,0.5,1,0,0,0,
416,Mitchell Robinson,C,21,NYK,61,1412,0.742,1.3,1,0.924,0.073,0.003,0,0,0.742,0.775,0.36,0,,,0.668,,0.616,185,,
417,Isaiah Roby,SF,21,OKC,3,11,0,4,1,0,1,0,0,0,0,,0,,,,,,0,0,,
418,Rajon Rondo,PG,33,LAL,48,984,0.418,13.6,0.619,0.305,0.171,0.064,0.079,0.381,0.473,0.58,0.357,0.381,0.385,0.328,0.125,0.659,0,0,0.192,0.333
419,Derrick Rose,PG,31,DET,50,1298,0.49,10.9,0.805,0.301,0.252,0.145,0.106,0.195,0.535,0.665,0.458,0.468,0.438,0.306,0.173,0.644,0.003,2,0.122,0.444
420,Terrence Ross,SG,28,ORL,63,1723,0.407,20,0.416,0.09,0.068,0.106,0.152,0.584,0.477,0.786,0.321,0.402,0.415,0.357,0.617,0.87,0.031,20,0.081,0.405
421,Terry Rozier,PG,25,CHO,63,2164,0.423,15.6,0.55,0.221,0.149,0.103,0.078,0.45,0.436,0.553,0.343,0.361,0.384,0.407,0.319,0.808,0.009,6,0.187,0.405
422,Ricky Rubio,PG,29,PHO,57,1802,0.412,13.8,0.692,0.252,0.134,0.134,0.172,0.308,0.44,0.526,0.268,0.512,0.39,0.351,0.28,0.879,0,0,0.271,0.412
423,D'Angelo Russell,PG,23,TOT,45,1452,0.426,19.1,0.491,0.078,0.118,0.155,0.139,0.509,0.487,0.712,0.39,0.42,0.517,0.367,0.243,0.538,0.004,3,0.081,0.429
424,Domantas Sabonis,C,23,IND,62,2159,0.54,7.2,0.921,0.511,0.225,0.047,0.138,0.079,0.565,0.686,0.382,0.35,0.487,0.254,0.651,1,0.064,51,0.09,0.167
425,Luka Šamanić,PF,20,SAS,1,12,0,14.8,0.5,0.25,0.25,0,0,0.5,0,0,0,,,0,,,0,0,0,
426,JaKarr Sampson,SF,26,IND,26,340,0.593,6.7,0.84,0.605,0.136,0.086,0.012,0.16,0.676,0.735,0.545,0.429,1,0.154,0.848,1,0.247,18,0.769,0.1
427,Dario Šarić,PF,25,PHO,58,1441,0.462,14.4,0.545,0.306,0.136,0.034,0.068,0.455,0.563,0.667,0.359,0.625,0.469,0.341,0.681,0.973,0.011,5,0.173,0.189
428,Tomáš Satoranský,PG,28,CHI,65,1878,0.43,12.7,0.639,0.287,0.212,0.1,0.04,0.361,0.491,0.595,0.402,0.473,0.273,0.322,0.341,0.906,0.034,17,0.286,0.368
429,Admiral Schofield,SF,22,WAS,27,293,0.4,17.9,0.373,0.187,0.107,0.067,0.013,0.627,0.571,0.571,0.5,0.6,1,0.298,0.688,1,0.04,2,0.277,0.462
430,Dennis Schröder,PG,26,OKC,63,1952,0.468,14.9,0.661,0.221,0.124,0.177,0.14,0.339,0.512,0.641,0.444,0.443,0.455,0.381,0.359,0.852,0.003,3,0.106,0.529
431,Mike Scott,PF,31,PHI,63,1119,0.408,18.6,0.361,0.185,0.082,0.056,0.038,0.639,0.496,0.576,0.462,0.389,0.333,0.358,0.667,1,0.019,4,0.221,0.267
432,Thabo Sefolosha,PF,35,HOU,41,436,0.407,16.9,0.407,0.253,0.066,0.033,0.055,0.593,0.595,0.826,0.167,0.333,0.2,0.278,0.591,1,0,0,0.444,0.417
433,Collin Sexton,SG,21,CLE,65,2143,0.472,11.1,0.765,0.33,0.215,0.153,0.068,0.235,0.501,0.615,0.391,0.446,0.419,0.38,0.293,0.742,0.024,23,0.11,0.536
434,Landry Shamet,SG,22,LAC,47,1294,0.416,20.9,0.236,0.12,0.043,0.043,0.031,0.764,0.494,0.69,0.133,0.533,0.182,0.392,0.61,0.971,0.009,1,0.269,0.417
435,Marial Shayok,SG,24,PHI,2,10,0.2,19,0.4,0.2,0,0,0.2,0.6,0,0,,,0,0.333,,1,0,0,0.667,0
436,Iman Shumpert,SG,29,BRK,13,241,0.328,18.5,0.484,0.156,0.031,0.078,0.219,0.516,0.419,0.6,0.5,0.4,0.286,0.242,0.769,0.875,0,0,0.242,0.25
437,Pascal Siakam,PF,25,TOR,53,1882,0.459,12.4,0.68,0.289,0.234,0.073,0.084,0.32,0.506,0.709,0.376,0.342,0.31,0.359,0.424,0.643,0.042,40,0.234,0.373
438,Chris Silva,PF,23,MIA,41,307,0.623,4,0.971,0.681,0.203,0.058,0.029,0.029,0.642,0.745,0.357,0.5,0.5,0,0.674,,0.275,18,0.5,0
439,Ben Simmons,PG,23,PHI,54,1930,0.585,3.6,0.99,0.642,0.303,0.039,0.006,0.01,0.588,0.72,0.374,0.167,0,0.333,0.507,1,0.169,98,0.333,1
440,Anfernee Simons,SG,20,POR,65,1400,0.402,15.8,0.583,0.211,0.133,0.13,0.109,0.417,0.448,0.568,0.343,0.353,0.456,0.338,0.372,0.689,0.027,12,0.169,0.378
441,Alen Smailagić,PF,19,GSW,14,139,0.5,11.4,0.675,0.325,0.25,0.075,0.025,0.325,0.63,0.846,0.5,0,1,0.231,0.529,1,0.025,1,0.308,0.25
442,Marcus Smart,SG,25,BOS,53,1721,0.38,18.6,0.418,0.104,0.165,0.104,0.044,0.582,0.424,0.53,0.365,0.47,0.286,0.348,0.304,0.719,0.008,4,0.149,0.345
443,Dennis Smith Jr.,PG,22,NYK,34,537,0.341,12.7,0.744,0.332,0.128,0.081,0.204,0.256,0.357,0.543,0.222,0.235,0.186,0.296,0.179,0.563,0.043,7,0.148,0.375
444,Ish Smith,PG,31,WAS,60,1570,0.451,13.3,0.742,0.229,0.176,0.153,0.184,0.258,0.48,0.639,0.382,0.494,0.364,0.367,0.188,0.745,0,0,0.273,0.341
445,Zhaire Smith,SG,20,PHI,7,32,0.273,10.3,0.727,0.545,0,0.091,0.091,0.273,0.375,0.5,,0,0,0,0.667,,0.273,2,0.333,0
446,Tony Snell,SF,28,DET,59,1641,0.445,19.4,0.335,0.102,0.118,0.068,0.047,0.665,0.531,0.692,0.489,0.346,0.556,0.402,0.647,0.892,0.024,9,0.374,0.432
447,Omari Spellman,PF,22,GSW,49,886,0.431,14.3,0.627,0.305,0.112,0.078,0.132,0.373,0.454,0.556,0.303,0.478,0.333,0.391,0.607,1,0.102,19,0.182,0.55
448,Max Strus,SG,23,CHI,2,6,0.667,9,0.667,0.667,0,0,0,0.333,1,1,,,,0,0.5,,0,0,0,
449,Edmond Sumner,PG,24,IND,25,345,0.423,11.2,0.658,0.378,0.234,0.045,0,0.342,0.507,0.69,0.269,0.2,,0.263,0.568,1,0.036,4,0.289,0.545
450,Caleb Swanigan,PF,22,TOT,27,288,0.596,5.3,0.957,0.617,0.191,0.106,0.043,0.043,0.622,0.724,0.444,0.4,0.5,0,0.75,,0.021,1,0.5,0
451,Jayson Tatum,PF,21,BOS,59,2043,0.448,14.1,0.623,0.255,0.164,0.119,0.085,0.377,0.479,0.616,0.379,0.402,0.368,0.398,0.434,0.557,0.055,56,0.181,0.395
452,Jeff Teague,PG,31,TOT,59,1464,0.436,10.9,0.761,0.303,0.297,0.123,0.039,0.239,0.457,0.574,0.407,0.317,0.368,0.368,0.159,0.465,0.01,4,0.085,0.5
453,Garrett Temple,SG,33,BRK,55,1547,0.378,18.8,0.34,0.181,0.055,0.052,0.052,0.66,0.483,0.579,0.379,0.333,0.407,0.324,0.593,0.866,0.008,3,0.292,0.347
454,Daniel Theis,C,27,BOS,58,1382,0.565,8.9,0.788,0.495,0.183,0.073,0.037,0.212,0.631,0.725,0.457,0.536,0.429,0.321,0.789,1,0.207,71,0.111,0.333
455,Isaiah Thomas,PG,30,WAS,40,925,0.408,17.7,0.556,0.066,0.157,0.185,0.148,0.444,0.405,0.536,0.299,0.392,0.476,0.413,0.385,0.769,0,0,0.111,0.238
456,Khyri Thomas,SG,23,DET,8,61,0.294,22.7,0.176,0,0.059,0.059,0.059,0.824,0,,0,0,0,0.357,,1,0,0,0.143,0.5
457,Matt Thomas,SG,25,TOR,33,321,0.486,21,0.324,0.054,0.054,0.099,0.117,0.676,0.528,0.5,0.5,0.455,0.615,0.467,0.737,1,0,0,0.253,0.579
458,Tristan Thompson,C,28,CLE,57,1721,0.512,5.2,0.959,0.496,0.372,0.073,0.018,0.041,0.518,0.624,0.435,0.317,0.1,0.391,0.599,0.667,0.185,95,0.087,0
459,Matisse Thybulle,SG,22,PHI,57,1110,0.41,16.9,0.393,0.256,0.081,0.034,0.021,0.607,0.5,0.65,0.263,0.25,0,0.352,0.717,1,0.128,27,0.317,0.444
460,Anthony Tolliver,PF,34,TOT,47,732,0.348,20.8,0.219,0.129,0.058,0.013,0.019,0.781,0.441,0.4,0.444,0.5,0.667,0.322,0.867,0.974,0.013,2,0.231,0.393
461,Juan Toscano-Anderson,SF,26,GSW,13,272,0.46,11.6,0.635,0.397,0.19,0.016,0.032,0.365,0.525,0.72,0.25,0,0,0.348,0.476,1,0.111,6,0.348,0.375
462,Karl-Anthony Towns,C,24,MIN,35,1187,0.508,14,0.555,0.328,0.148,0.032,0.047,0.445,0.586,0.721,0.457,0.25,0.276,0.412,0.505,0.816,0.064,38,0.101,0.429
463,Gary Trent Jr.,SG,21,POR,53,1059,0.426,18.8,0.426,0.111,0.086,0.111,0.117,0.574,0.477,0.667,0.3,0.436,0.463,0.388,0.408,0.846,0.02,7,0.274,0.364
464,Allonzo Trier,PG,24,NYK,24,291,0.481,17.5,0.5,0.208,0.057,0.085,0.151,0.5,0.604,0.682,0.167,0.667,0.625,0.358,0.281,0.789,0.057,5,0.132,0.429
465,P.J. Tucker,PF,34,HOU,64,2203,0.433,18.2,0.313,0.152,0.094,0.037,0.029,0.687,0.573,0.649,0.486,0.5,0.545,0.37,0.731,0.989,0,0,0.759,0.4
466,Rayjon Tucker,SG,22,UTA,14,78,0.421,11.6,0.684,0.263,0.316,0.105,0,0.316,0.615,1,0.333,0.5,,0,0.625,,0.053,1,0.167,0
467,Evan Turner,PG,31,ATL,19,251,0.373,10.4,0.925,0.299,0.149,0.343,0.134,0.075,0.403,0.55,0.5,0.261,0.333,0,0.4,,0,0,0.2,0
468,Myles Turner,C,23,IND,55,1628,0.451,15.8,0.557,0.211,0.147,0.108,0.091,0.443,0.542,0.688,0.513,0.536,0.255,0.336,0.705,1,0.062,26,0.153,0.343
469,Jarrod Uthoff,SF,26,MEM,4,14,0.143,17.7,0.429,0.143,0.143,0.143,0,0.571,0.333,0,0,1,,0,1,,0,0,0,
470,Jonas Valančiūnas,C,27,MEM,62,1630,0.586,7.1,0.88,0.429,0.358,0.067,0.026,0.12,0.616,0.734,0.54,0.318,0.471,0.367,0.584,1,0.09,55,0.114,0.333
471,Denzel Valentine,SF,26,CHI,36,488,0.409,19.5,0.422,0.046,0.152,0.143,0.08,0.578,0.51,0.545,0.444,0.529,0.579,0.336,0.412,0.783,0,0,0.153,0.429
472,Jarred Vanderbilt,SF-PF,20,TOT,11,46,0.625,4,0.875,0.875,0,0,0,0.125,0.714,0.714,,,,0,0.6,,0.25,2,1,0
473,Fred VanVleet,PG,25,TOR,48,1719,0.409,15.4,0.518,0.311,0.104,0.04,0.063,0.482,0.43,0.546,0.192,0.286,0.341,0.388,0.179,0.702,0,0,0.157,0.453
474,Gabe Vincent,PG,23,MIA,6,42,0.211,23.2,0.158,0,0.053,0.105,0,0.842,0,,0,0,,0.25,,1,0,0,0.125,0
475,Noah Vonleh,C-PF,24,TOT,33,364,0.562,6.9,0.831,0.506,0.315,0,0.011,0.169,0.635,0.711,0.536,,0,0.2,0.553,1,0.169,13,0.2,0.333
476,Nikola Vučević,C,29,ORL,54,1763,0.47,12.2,0.726,0.238,0.288,0.123,0.077,0.274,0.523,0.673,0.485,0.393,0.414,0.329,0.731,0.988,0.029,23,0.028,0.857
477,Dean Wade,PF,23,CLE,12,71,0.692,8.5,0.692,0.615,0.077,0,0,0.308,0.778,0.75,1,,,0.5,0.714,1,0.308,4,0.5,0.5
478,Moritz Wagner,C,22,WAS,37,707,0.575,9.4,0.706,0.504,0.184,0.013,0.004,0.294,0.671,0.791,0.381,0.333,0,0.343,0.769,1,0.096,19,0.149,0.4
479,Dion Waiters,SG,28,MIA,3,42,0.385,19.3,0.346,0.192,0.038,0,0.115,0.654,0.222,0.2,0,,0.333,0.471,0.5,0.75,0,0,0.176,0.333
480,Kemba Walker,PG,29,BOS,50,1592,0.421,17.4,0.474,0.201,0.117,0.079,0.077,0.526,0.47,0.605,0.278,0.455,0.422,0.377,0.254,0.479,0,0,0.043,0.316
481,Lonnie Walker,SG,21,SAS,53,767,0.434,11.9,0.734,0.341,0.187,0.075,0.131,0.266,0.444,0.582,0.3,0.3,0.371,0.408,0.563,0.966,0.056,12,0.254,0.444
482,Tyrone Wallace,SG,25,ATL,14,160,0.318,11.9,0.659,0.432,0.136,0.068,0.023,0.341,0.448,0.579,0.167,0.333,0,0.067,0.615,0,0.023,1,0.267,0
483,Taurean Prince,SF,25,BRK,64,1857,0.376,17.5,0.417,0.188,0.112,0.074,0.042,0.583,0.429,0.54,0.313,0.345,0.387,0.339,0.576,0.877,0.02,14,0.309,0.331
484,Derrick Walton,PG,24,TOT,26,248,0.462,20.5,0.385,0.077,0,0.154,0.154,0.615,0.533,0.667,,0.5,0.5,0.417,0.25,0.9,0,0,0.25,0.167
485,Brad Wanamaker,PG,30,BOS,63,1215,0.428,12.2,0.717,0.283,0.248,0.091,0.094,0.283,0.452,0.656,0.278,0.448,0.3,0.367,0.427,0.879,0.006,2,0.033,0.667
486,T.J. Warren,SF,26,IND,61,1984,0.529,11.8,0.788,0.274,0.178,0.222,0.114,0.212,0.571,0.769,0.432,0.503,0.444,0.375,0.611,0.942,0.039,34,0.478,0.432
487,P.J. Washington,PF,21,CHO,58,1759,0.455,12.3,0.61,0.324,0.25,0.024,0.012,0.39,0.507,0.66,0.34,0.214,0.429,0.374,0.786,0.965,0.109,59,0.274,0.508
488,Yuta Watanabe,SG,25,MEM,16,99,0.414,11.4,0.724,0.345,0.172,0.138,0.069,0.276,0.429,0.6,0.4,0,0.5,0.375,0.556,1,0.138,2,0.25,0.5
489,Tremont Waters,PG,22,BOS,10,89,0.343,16.3,0.514,0.2,0.171,0.086,0.057,0.486,0.5,0.714,0.333,0,1,0.176,0.222,0,0,0,0.118,0
490,Paul Watson,SF-SG,25,TOT,5,25,0,17.8,0.5,0,0.375,0,0.125,0.5,0,,0,,0,0,,,0,0,0.25,0
491,Quinndary Weatherspoon,SG,23,SAS,3,15,0,20.3,0.667,0,0,0.333,0.333,0.333,0,,,0,0,0,,,0,0,0,
492,Russell Westbrook,PG,31,HOU,53,1905,0.474,10.1,0.832,0.413,0.143,0.128,0.148,0.168,0.518,0.64,0.363,0.422,0.41,0.254,0.232,0.647,0.043,39,0.199,0.225
493,Coby White,SG,19,CHI,65,1674,0.394,16,0.525,0.258,0.106,0.054,0.107,0.475,0.43,0.529,0.321,0.372,0.329,0.354,0.263,0.759,0.01,4,0.141,0.377
494,Derrick White,SG,25,SAS,61,1468,0.459,13.4,0.655,0.265,0.209,0.108,0.073,0.345,0.513,0.585,0.546,0.38,0.353,0.356,0.385,0.772,0.019,8,0.138,0.409
495,Hassan Whiteside,C,30,POR,61,1911,0.618,5.1,0.99,0.558,0.259,0.108,0.065,0.01,0.619,0.743,0.503,0.37,0.432,0.571,0.652,1,0.189,124,0,
496,Andrew Wiggins,SF-SG,24,TOT,54,1858,0.447,13.6,0.658,0.251,0.212,0.102,0.094,0.342,0.506,0.686,0.454,0.33,0.337,0.332,0.393,0.775,0.034,31,0.138,0.326
497,Grant Williams,PF,21,BOS,62,970,0.417,13.9,0.557,0.271,0.203,0.063,0.021,0.443,0.551,0.654,0.538,0.333,0,0.247,0.593,0.857,0.031,4,0.412,0.286
498,Johnathan Williams,C,24,WAS,11,135,0.64,8.8,0.92,0.44,0.28,0.08,0.12,0.08,0.696,0.909,0.571,0,0.667,0,0.563,,0.16,4,0.5,0
499,Kenrich Williams,PF,25,NOP,35,779,0.343,18.1,0.329,0.245,0.049,0.014,0.021,0.671,0.511,0.543,0.429,0.5,0.333,0.26,0.667,0.96,0.035,4,0.438,0.357
500,Lou Williams,SG,33,LAC,60,1757,0.416,14.8,0.666,0.191,0.187,0.144,0.144,0.334,0.442,0.574,0.406,0.354,0.402,0.363,0.196,0.636,0.006,3,0.22,0.354
501,Marvin Williams,PF,33,TOT,52,1011,0.442,17.3,0.422,0.141,0.197,0.06,0.024,0.578,0.552,0.829,0.469,0.333,0.167,0.361,0.672,0.981,0.012,2,0.354,0.471
502,Robert Williams,C,22,BOS,23,323,0.677,2.8,1,0.758,0.194,0,0.048,0,0.677,0.766,0.417,,0.333,,0.738,,0.419,23,,
503,Nigel Williams-Goss,PG,25,UTA,9,28,0.143,15.3,0.714,0,0.429,0.143,0.143,0.286,0.2,,0.333,0,0,0,1,,0,0,0,
504,Zion Williamson,PF,19,NOP,19,565,0.589,3.6,0.955,0.767,0.154,0.021,0.014,0.045,0.595,0.674,0.289,0.333,0,0.462,0.747,1,0.192,51,0,
505,D.J. Wilson,PF,23,MIL,31,280,0.396,16.5,0.455,0.238,0.109,0.059,0.05,0.545,0.565,0.792,0.273,0.167,0.6,0.255,0.846,0.929,0.139,11,0.236,0.615
506,Justise Winslow,SF,23,MIA,11,352,0.388,10.4,0.791,0.256,0.372,0.085,0.078,0.209,0.431,0.606,0.354,0.455,0.2,0.222,0.5,0.833,0.031,3,0.296,0.125
507,Christian Wood,PF,24,DET,62,1325,0.567,10.1,0.724,0.409,0.234,0.041,0.039,0.276,0.636,0.793,0.445,0.381,0.4,0.386,0.714,0.926,0.242,115,0.279,0.385
508,Delon Wright,SG,27,DAL,65,1412,0.47,11,0.693,0.365,0.273,0.031,0.024,0.307,0.508,0.647,0.356,0.417,0.222,0.385,0.306,0.8,0.021,7,0.171,0.55
509,Justin Wright-Foreman,PG,22,UTA,1,2,,,,,,,,,,,,,,,,,,0,,
510,Thaddeus Young,PF,31,CHI,64,1591,0.448,11.9,0.631,0.329,0.25,0.023,0.028,0.369,0.501,0.601,0.413,0.214,0.353,0.356,0.568,0.937,0.048,26,0.423,0.362
511,Trae Young,PG,21,ATL,60,2120,0.437,16.8,0.545,0.183,0.167,0.146,0.05,0.455,0.501,0.596,0.452,0.467,0.413,0.361,0.161,0.298,0,0,0.033,0.579
512,Cody Zeller,C,27,CHO,58,1341,0.524,6.6,0.843,0.57,0.242,0.027,0.004,0.157,0.577,0.659,0.422,0.154,1,0.24,0.704,0.944,0.14,63,0.053,0.5
513,Ante Žižić,C,23,CLE,22,221,0.569,4.1,1,0.514,0.361,0.111,0.014,0,0.569,0.622,0.462,0.75,0,,0.756,,0.042,1,,
514,Ivica Zubac,C,22,LAC,64,1156,0.601,3.5,0.994,0.685,0.232,0.042,0.036,0.006,0.605,0.67,0.41,0.5,0.75,0,0.733,,0.262,84,0,
